Miner,Watt-Normal,Watt-Low,Temp-Inside,Temp outside,Th/s-Normal,Th/s-LPM,,YTD,Breakeven Prices,,Past 6 Months,Breakeven Prices,,Past 1 Month,Breakeven Prices,,YTD,Past 6 Months,Past 1 Month,,Breakeven YTD,Breakeven 6M,Breakeven 1M,Breakeven AVG
XP 134 th/s,3230,2640,38,32.8,136,114,,XP 134 th/s Normal,0.284,,XP 134 th/s Normal,0.31,,XP 134 th/s Normal,0.427,,62557.50757,68301.97964,94226.04226,,0.258125,0.28175,0.3885,0.3095
XP 134 th/s,3220,2520,38,32.8,137,114,,XP 134 th/s LPM,0.296,,XP 134 th/s LPM,0.323,,XP 134 th/s LPM,0.446,,,,,,,,,
XP 141 th/s,3583,2846,34,32.8,144,121,,XP 141 th/s Normal,0.273,,XP 141 th/s Normal,0.298,,XP 141 th/s Normal,0.411,,,,,,,,,
XP 141 th/s,3465,2963,34,32.8,143,130,,XP 141 th/s LPM,0.29,,XP 141 th/s LPM,0.316,,XP 141 th/s LPM,0.436,,,,,,, ,,
S19 104,3456,2265,34,33,104,81 ,,S19 104 Normal,0.203,,S19 104 Normal,0.221,,S19 104 Normal,0.305,,,,,,,,,
S19 104,3494,2226,36,33,106,81 ,,S19 104 LPM,0.242,,S19 104 LPM,0.264,,S19 104 LPM,0.364,,,,,,,,,
S19 100,3250,2016,37,33,103,79 ,,S19 100 Normal,0.211,,S19 100 Normal,0.231,,S19 100 Normal,0.318,,,,,,,,,
S19 100,3248,1960,38,33,102,79 ,,S19 100 LPM,0.266,,S19 100 LPM,0.291,,S19 100 LPM,0.401,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
XP 134 th/s,3225,2580,,,136.5,114,,AVERAGE,0.03570289104,,AVERAGE,0.03892024813,,AVERAGE,0.05378528742,,0.04280280886,CUMULATIVE AVG,,,,,,
XP 141 th/s,3524,2904.5,,,143.5,125.5,,,,,,,,,,,,,,,,,,
S19 104,3475,2245.5,,,105,81,,,,,,,,,,,,,,,,,,
S19 100,3249,1988,,,102.5,79,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Watt,Th/s,,,,,,,,,,,,,,,,,,,,,,
Average Miner,2898.875,110.875,,,,,,,,,,,,,,,,,,,,,,
