Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-04-01,1,1,LZ_WEST,LZEW,1.59
2024-04-01,1,2,LZ_WEST,LZEW,2.55
2024-04-01,1,3,LZ_WEST,LZEW,2.80
2024-04-01,1,4,LZ_WEST,LZEW,1.70
2024-04-01,2,1,LZ_WEST,LZEW,1.60
2024-04-01,2,2,LZ_WEST,LZEW,0.83
2024-04-01,2,3,LZ_WEST,LZEW,1.13
2024-04-01,2,4,LZ_WEST,LZEW,1.03
2024-04-01,3,1,LZ_WEST,LZEW,0.94
2024-04-01,3,2,LZ_WEST,LZEW,1.70
2024-04-01,3,3,LZ_WEST,LZEW,1.66
2024-04-01,3,4,LZ_WEST,LZEW,0.37
2024-04-01,4,1,LZ_WEST,LZEW,1.21
2024-04-01,4,2,LZ_WEST,LZEW,1.74
2024-04-01,4,3,LZ_WEST,LZEW,1.91
2024-04-01,4,4,LZ_WEST,LZEW,4.06
2024-04-01,5,1,LZ_WEST,LZEW,4.25
2024-04-01,5,2,LZ_WEST,LZEW,5.54
2024-04-01,5,3,LZ_WEST,LZEW,6.09
2024-04-01,5,4,LZ_WEST,LZEW,7.14
2024-04-01,6,1,LZ_WEST,LZEW,7.01
2024-04-01,6,2,LZ_WEST,LZEW,12.77
2024-04-01,6,3,LZ_WEST,LZEW,14.36
2024-04-01,6,4,LZ_WEST,LZEW,12.06
2024-04-01,7,1,LZ_WEST,LZEW,11.04
2024-04-01,7,2,LZ_WEST,LZEW,13.35
2024-04-01,7,3,LZ_WEST,LZEW,16.66
2024-04-01,7,4,LZ_WEST,LZEW,19.48
2024-04-01,8,1,LZ_WEST,LZEW,17.93
2024-04-01,8,2,LZ_WEST,LZEW,18.42
2024-04-01,8,3,LZ_WEST,LZEW,18.42
2024-04-01,8,4,LZ_WEST,LZEW,18.40
2024-04-01,9,1,LZ_WEST,LZEW,22.83
2024-04-01,9,2,LZ_WEST,LZEW,21.55
2024-04-01,9,3,LZ_WEST,LZEW,22.69
2024-04-01,9,4,LZ_WEST,LZEW,23.05
2024-04-01,10,1,LZ_WEST,LZEW,18.95
2024-04-01,10,2,LZ_WEST,LZEW,21.56
2024-04-01,10,3,LZ_WEST,LZEW,24.60
2024-04-01,10,4,LZ_WEST,LZEW,21.96
2024-04-01,11,1,LZ_WEST,LZEW,22.26
2024-04-01,11,2,LZ_WEST,LZEW,20.79
2024-04-01,11,3,LZ_WEST,LZEW,20.89
2024-04-01,11,4,LZ_WEST,LZEW,19.33
2024-04-01,12,1,LZ_WEST,LZEW,18.14
2024-04-01,12,2,LZ_WEST,LZEW,20.54
2024-04-01,12,3,LZ_WEST,LZEW,18.74
2024-04-01,12,4,LZ_WEST,LZEW,18.33
2024-04-01,13,1,LZ_WEST,LZEW,16.18
2024-04-01,13,2,LZ_WEST,LZEW,17.62
2024-04-01,13,3,LZ_WEST,LZEW,15.55
2024-04-01,13,4,LZ_WEST,LZEW,20.14
2024-04-01,14,1,LZ_WEST,LZEW,20.93
2024-04-01,14,2,LZ_WEST,LZEW,16.55
2024-04-01,14,3,LZ_WEST,LZEW,13.38
2024-04-01,14,4,LZ_WEST,LZEW,12.70
2024-04-01,15,1,LZ_WEST,LZEW,12.36
2024-04-01,15,2,LZ_WEST,LZEW,13.04
2024-04-01,15,3,LZ_WEST,LZEW,11.81
2024-04-01,15,4,LZ_WEST,LZEW,9.46
2024-04-01,16,1,LZ_WEST,LZEW,7.03
2024-04-01,16,2,LZ_WEST,LZEW,2.41
2024-04-01,16,3,LZ_WEST,LZEW,2.65
2024-04-01,16,4,LZ_WEST,LZEW,1.43
2024-04-01,17,1,LZ_WEST,LZEW,0.96
2024-04-01,17,2,LZ_WEST,LZEW,0.69
2024-04-01,17,3,LZ_WEST,LZEW,0.56
2024-04-01,17,4,LZ_WEST,LZEW,5.37
2024-04-01,18,1,LZ_WEST,LZEW,6.58
2024-04-01,18,2,LZ_WEST,LZEW,3.91
2024-04-01,18,3,LZ_WEST,LZEW,3.39
2024-04-01,18,4,LZ_WEST,LZEW,2.09
2024-04-01,19,1,LZ_WEST,LZEW,2.27
2024-04-01,19,2,LZ_WEST,LZEW,5
2024-04-01,19,3,LZ_WEST,LZEW,6.25
2024-04-01,19,4,LZ_WEST,LZEW,11.29
2024-04-01,20,1,LZ_WEST,LZEW,15.19
2024-04-01,20,2,LZ_WEST,LZEW,13.17
2024-04-01,20,3,LZ_WEST,LZEW,7.65
2024-04-01,20,4,LZ_WEST,LZEW,2.56
2024-04-01,21,1,LZ_WEST,LZEW,2.54
2024-04-01,21,2,LZ_WEST,LZEW,8.06
2024-04-01,21,3,LZ_WEST,LZEW,18.15
2024-04-01,21,4,LZ_WEST,LZEW,20.50
2024-04-01,22,1,LZ_WEST,LZEW,22.43
2024-04-01,22,2,LZ_WEST,LZEW,20.41
2024-04-01,22,3,LZ_WEST,LZEW,15.70
2024-04-01,22,4,LZ_WEST,LZEW,14.09
2024-04-01,23,1,LZ_WEST,LZEW,11.46
