Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-12-01,1,1,LZ_WEST,LZEW,39.33
2024-12-01,1,2,LZ_WEST,LZEW,35.66
2024-12-01,1,3,LZ_WEST,LZEW,34.53
2024-12-01,1,4,LZ_WEST,LZEW,35.84
2024-12-01,2,1,LZ_WEST,LZEW,35.77
2024-12-01,2,2,LZ_WEST,LZEW,34.68
2024-12-01,2,3,LZ_WEST,LZEW,32.36
2024-12-01,2,4,LZ_WEST,LZEW,30.49
2024-12-01,3,1,LZ_WEST,LZEW,27.88
2024-12-01,3,2,LZ_WEST,LZEW,27.88
2024-12-01,3,3,LZ_WEST,LZEW,29.12
2024-12-01,3,4,LZ_WEST,LZEW,28.74
2024-12-01,4,1,LZ_WEST,LZEW,28.87
2024-12-01,4,2,LZ_WEST,LZEW,26.88
2024-12-01,4,3,LZ_WEST,LZEW,28.43
2024-12-01,4,4,LZ_WEST,LZEW,28.36
2024-12-01,5,1,LZ_WEST,LZEW,28.32
2024-12-01,5,2,LZ_WEST,LZEW,26.65
2024-12-01,5,3,LZ_WEST,LZEW,26.74
2024-12-01,5,4,LZ_WEST,LZEW,28.36
2024-12-01,6,1,LZ_WEST,LZEW,27.46
2024-12-01,6,2,LZ_WEST,LZEW,31.60
2024-12-01,6,3,LZ_WEST,LZEW,34.53
2024-12-01,6,4,LZ_WEST,LZEW,36.11
2024-12-01,7,1,LZ_WEST,LZEW,31.76
2024-12-01,7,2,LZ_WEST,LZEW,33.75
2024-12-01,7,3,LZ_WEST,LZEW,29.85
2024-12-01,7,4,LZ_WEST,LZEW,30.27
2024-12-01,8,1,LZ_WEST,LZEW,30.83
2024-12-01,8,2,LZ_WEST,LZEW,36.86
2024-12-01,8,3,LZ_WEST,LZEW,33.13
2024-12-01,8,4,LZ_WEST,LZEW,27.44
2024-12-01,9,1,LZ_WEST,LZEW,25.36
2024-12-01,9,2,LZ_WEST,LZEW,21.76
2024-12-01,9,3,LZ_WEST,LZEW,18.82
2024-12-01,9,4,LZ_WEST,LZEW,17.92
2024-12-01,10,1,LZ_WEST,LZEW,19.57
2024-12-01,10,2,LZ_WEST,LZEW,19.67
2024-12-01,10,3,LZ_WEST,LZEW,19.15
2024-12-01,10,4,LZ_WEST,LZEW,18.95
2024-12-01,11,1,LZ_WEST,LZEW,20.09
2024-12-01,11,2,LZ_WEST,LZEW,18.66
2024-12-01,11,3,LZ_WEST,LZEW,17.42
2024-12-01,11,4,LZ_WEST,LZEW,17.88
2024-12-01,12,1,LZ_WEST,LZEW,19.49
2024-12-01,12,2,LZ_WEST,LZEW,19.05
2024-12-01,12,3,LZ_WEST,LZEW,19.20
2024-12-01,12,4,LZ_WEST,LZEW,19.65
2024-12-01,13,1,LZ_WEST,LZEW,19.82
2024-12-01,13,2,LZ_WEST,LZEW,19.98
2024-12-01,13,3,LZ_WEST,LZEW,19.55
2024-12-01,13,4,LZ_WEST,LZEW,19.96
2024-12-01,14,1,LZ_WEST,LZEW,20.13
2024-12-01,14,2,LZ_WEST,LZEW,20.17
2024-12-01,14,3,LZ_WEST,LZEW,20.78
2024-12-01,14,4,LZ_WEST,LZEW,20.55
2024-12-01,15,1,LZ_WEST,LZEW,20.80
2024-12-01,15,2,LZ_WEST,LZEW,19.73
2024-12-01,15,3,LZ_WEST,LZEW,20.17
2024-12-01,15,4,LZ_WEST,LZEW,20.38
2024-12-01,16,1,LZ_WEST,LZEW,18.34
2024-12-01,16,2,LZ_WEST,LZEW,17.84
2024-12-01,16,3,LZ_WEST,LZEW,20.06
2024-12-01,16,4,LZ_WEST,LZEW,20.51
2024-12-01,17,1,LZ_WEST,LZEW,22.93
2024-12-01,17,2,LZ_WEST,LZEW,32.59
2024-12-01,17,3,LZ_WEST,LZEW,47.46
2024-12-01,17,4,LZ_WEST,LZEW,64.27
2024-12-01,18,1,LZ_WEST,LZEW,62.22
2024-12-01,18,2,LZ_WEST,LZEW,70.17
2024-12-01,18,3,LZ_WEST,LZEW,60.68
2024-12-01,18,4,LZ_WEST,LZEW,51.96
2024-12-01,19,1,LZ_WEST,LZEW,56.29
2024-12-01,19,2,LZ_WEST,LZEW,58.84
2024-12-01,19,3,LZ_WEST,LZEW,50.96
2024-12-01,19,4,LZ_WEST,LZEW,40.88
2024-12-01,20,1,LZ_WEST,LZEW,44.97
2024-12-01,20,2,LZ_WEST,LZEW,42.64
2024-12-01,20,3,LZ_WEST,LZEW,39.13
2024-12-01,20,4,LZ_WEST,LZEW,36.36
2024-12-01,21,1,LZ_WEST,LZEW,35.45
2024-12-01,21,2,LZ_WEST,LZEW,33.90
2024-12-01,21,3,LZ_WEST,LZEW,30.35
2024-12-01,21,4,LZ_WEST,LZEW,33.01
2024-12-01,22,1,LZ_WEST,LZEW,34.60
2024-12-01,22,2,LZ_WEST,LZEW,34.46
2024-12-01,22,3,LZ_WEST,LZEW,32.59
2024-12-01,22,4,LZ_WEST,LZEW,28.87
2024-12-01,23,1,LZ_WEST,LZEW,29.52
2024-12-01,23,2,LZ_WEST,LZEW,29.55
2024-12-01,23,3,LZ_WEST,LZEW,29.76
2024-12-01,23,4,LZ_WEST,LZEW,29.73
2024-12-01,24,1,LZ_WEST,LZEW,29.04
2024-12-01,24,2,LZ_WEST,LZEW,27.97
2024-12-01,24,3,LZ_WEST,LZEW,27.54
2024-12-01,24,4,LZ_WEST,LZEW,26.40
2024-12-02,1,1,LZ_WEST,LZEW,31.47
2024-12-02,1,2,LZ_WEST,LZEW,32.83
2024-12-02,1,3,LZ_WEST,LZEW,30.31
2024-12-02,1,4,LZ_WEST,LZEW,32.08
2024-12-02,2,1,LZ_WEST,LZEW,31.07
2024-12-02,2,2,LZ_WEST,LZEW,30.47
2024-12-02,2,3,LZ_WEST,LZEW,31.85
2024-12-02,2,4,LZ_WEST,LZEW,34.02
2024-12-02,3,1,LZ_WEST,LZEW,30.62
2024-12-02,3,2,LZ_WEST,LZEW,30.89
2024-12-02,3,3,LZ_WEST,LZEW,30.63
2024-12-02,3,4,LZ_WEST,LZEW,30.28
2024-12-02,4,1,LZ_WEST,LZEW,29.87
2024-12-02,4,2,LZ_WEST,LZEW,30.66
2024-12-02,4,3,LZ_WEST,LZEW,35.86
2024-12-02,4,4,LZ_WEST,LZEW,42.95
2024-12-02,5,1,LZ_WEST,LZEW,38.83
2024-12-02,5,2,LZ_WEST,LZEW,45.63
2024-12-02,5,3,LZ_WEST,LZEW,50.48
2024-12-02,5,4,LZ_WEST,LZEW,54.45
2024-12-02,6,1,LZ_WEST,LZEW,59.20
2024-12-02,6,2,LZ_WEST,LZEW,52.55
2024-12-02,6,3,LZ_WEST,LZEW,63.34
2024-12-02,6,4,LZ_WEST,LZEW,73.48
2024-12-02,7,1,LZ_WEST,LZEW,67.77
2024-12-02,7,2,LZ_WEST,LZEW,79.49
2024-12-02,7,3,LZ_WEST,LZEW,82.88
