Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-07-01,1,1,LZ_WEST,LZEW,21.58
2024-07-01,1,2,LZ_WEST,LZEW,21.58
2024-07-01,1,3,LZ_WEST,LZEW,20.22
2024-07-01,1,4,LZ_WEST,LZEW,20.34
2024-07-01,2,1,LZ_WEST,LZEW,21.27
2024-07-01,2,2,LZ_WEST,LZEW,20.79
2024-07-01,2,3,LZ_WEST,LZEW,20.79
2024-07-01,2,4,LZ_WEST,LZEW,20.34
2024-07-01,3,1,LZ_WEST,LZEW,20.15
2024-07-01,3,2,LZ_WEST,LZEW,19.44
2024-07-01,3,3,LZ_WEST,LZEW,19.32
2024-07-01,3,4,LZ_WEST,LZEW,18.98
2024-07-01,4,1,LZ_WEST,LZEW,19.37
2024-07-01,4,2,LZ_WEST,LZEW,19.03
2024-07-01,4,3,LZ_WEST,LZEW,18.89
2024-07-01,4,4,LZ_WEST,LZEW,18.94
2024-07-01,5,1,LZ_WEST,LZEW,19.38
2024-07-01,5,2,LZ_WEST,LZEW,19.40
2024-07-01,5,3,LZ_WEST,LZEW,19.60
2024-07-01,5,4,LZ_WEST,LZEW,19.90
2024-07-01,6,1,LZ_WEST,LZEW,21.06
2024-07-01,6,2,LZ_WEST,LZEW,21.46
2024-07-01,6,3,LZ_WEST,LZEW,21.59
2024-07-01,6,4,LZ_WEST,LZEW,21.28
2024-07-01,7,1,LZ_WEST,LZEW,22.01
2024-07-01,7,2,LZ_WEST,LZEW,21.26
2024-07-01,7,3,LZ_WEST,LZEW,20.89
2024-07-01,7,4,LZ_WEST,LZEW,20.90
2024-07-01,8,1,LZ_WEST,LZEW,20.88
2024-07-01,8,2,LZ_WEST,LZEW,19.64
2024-07-01,8,3,LZ_WEST,LZEW,18.02
2024-07-01,8,4,LZ_WEST,LZEW,16.97
2024-07-01,9,1,LZ_WEST,LZEW,16.12
2024-07-01,9,2,LZ_WEST,LZEW,12.84
2024-07-01,9,3,LZ_WEST,LZEW,10.36
2024-07-01,9,4,LZ_WEST,LZEW,2.02
2024-07-01,10,1,LZ_WEST,LZEW,0.97
2024-07-01,10,2,LZ_WEST,LZEW,0.85
2024-07-01,10,3,LZ_WEST,LZEW,1.02
2024-07-01,10,4,LZ_WEST,LZEW,1.11
2024-07-01,11,1,LZ_WEST,LZEW,1.98
2024-07-01,11,2,LZ_WEST,LZEW,2.38
2024-07-01,11,3,LZ_WEST,LZEW,4.95
2024-07-01,11,4,LZ_WEST,LZEW,6.41
2024-07-01,12,1,LZ_WEST,LZEW,9.88
2024-07-01,12,2,LZ_WEST,LZEW,11.26
2024-07-01,12,3,LZ_WEST,LZEW,11.10
2024-07-01,12,4,LZ_WEST,LZEW,11
2024-07-01,13,1,LZ_WEST,LZEW,9.97
2024-07-01,13,2,LZ_WEST,LZEW,7.86
2024-07-01,13,3,LZ_WEST,LZEW,4.69
2024-07-01,13,4,LZ_WEST,LZEW,4.14
2024-07-01,14,1,LZ_WEST,LZEW,3.97
2024-07-01,14,2,LZ_WEST,LZEW,5.23
2024-07-01,14,3,LZ_WEST,LZEW,5.49
2024-07-01,14,4,LZ_WEST,LZEW,5.53
2024-07-01,15,1,LZ_WEST,LZEW,5.36
2024-07-01,15,2,LZ_WEST,LZEW,6.05
2024-07-01,15,3,LZ_WEST,LZEW,5.98
2024-07-01,15,4,LZ_WEST,LZEW,7.27
2024-07-01,16,1,LZ_WEST,LZEW,8.85
2024-07-01,16,2,LZ_WEST,LZEW,5.42
2024-07-01,16,3,LZ_WEST,LZEW,4.05
2024-07-01,16,4,LZ_WEST,LZEW,2.25
2024-07-01,17,1,LZ_WEST,LZEW,4.58
2024-07-01,17,2,LZ_WEST,LZEW,5.50
2024-07-01,17,3,LZ_WEST,LZEW,6.66
2024-07-01,17,4,LZ_WEST,LZEW,6.26
2024-07-01,18,1,LZ_WEST,LZEW,2.59
2024-07-01,18,2,LZ_WEST,LZEW,5.37
2024-07-01,18,3,LZ_WEST,LZEW,4.16
2024-07-01,18,4,LZ_WEST,LZEW,5.47
2024-07-01,19,1,LZ_WEST,LZEW,6.17
2024-07-01,19,2,LZ_WEST,LZEW,4.83
2024-07-01,19,3,LZ_WEST,LZEW,2.69
2024-07-01,19,4,LZ_WEST,LZEW,2.61
2024-07-01,20,1,LZ_WEST,LZEW,1.66
2024-07-01,20,2,LZ_WEST,LZEW,2.88
2024-07-01,20,3,LZ_WEST,LZEW,3.62
2024-07-01,20,4,LZ_WEST,LZEW,5.22
2024-07-01,21,1,LZ_WEST,LZEW,8.28
2024-07-01,21,2,LZ_WEST,LZEW,16.55
2024-07-01,21,3,LZ_WEST,LZEW,21.55
2024-07-01,21,4,LZ_WEST,LZEW,22.18
2024-07-01,22,1,LZ_WEST,LZEW,22.64
2024-07-01,22,2,LZ_WEST,LZEW,21.13
2024-07-01,22,3,LZ_WEST,LZEW,19.88
2024-07-01,22,4,LZ_WEST,LZEW,19.35
2024-07-01,23,1,LZ_WEST,LZEW,20.70
2024-07-01,23,2,LZ_WEST,LZEW,20.81
2024-07-01,23,3,LZ_WEST,LZEW,11.53
2024-07-01,23,4,LZ_WEST,LZEW,1.11
2024-07-01,24,1,LZ_WEST,LZEW,0.63
2024-07-01,24,2,LZ_WEST,LZEW,2.06
2024-07-01,24,3,LZ_WEST,LZEW,15.81
2024-07-01,24,4,LZ_WEST,LZEW,18.99
2024-07-02,1,1,LZ_WEST,LZEW,18.33
2024-07-02,1,2,LZ_WEST,LZEW,17.33
2024-07-02,1,3,LZ_WEST,LZEW,18.30
2024-07-02,1,4,LZ_WEST,LZEW,17.71
2024-07-02,2,1,LZ_WEST,LZEW,17.50
2024-07-02,2,2,LZ_WEST,LZEW,16.87
2024-07-02,2,3,LZ_WEST,LZEW,16.01
2024-07-02,2,4,LZ_WEST,LZEW,14.93
2024-07-02,3,1,LZ_WEST,LZEW,15.86
2024-07-02,3,2,LZ_WEST,LZEW,16.10
2024-07-02,3,3,LZ_WEST,LZEW,15.93
2024-07-02,3,4,LZ_WEST,LZEW,15.80
2024-07-02,4,1,LZ_WEST,LZEW,15.57
