Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-06-01,1,1,LZ_WEST,LZEW,17.69
2024-06-01,1,2,LZ_WEST,LZEW,18.33
2024-06-01,1,3,LZ_WEST,LZEW,17.85
2024-06-01,1,4,LZ_WEST,LZEW,18.01
2024-06-01,2,1,LZ_WEST,LZEW,16.57
2024-06-01,2,2,LZ_WEST,LZEW,14.59
2024-06-01,2,3,LZ_WEST,LZEW,13.37
2024-06-01,2,4,LZ_WEST,LZEW,12.86
2024-06-01,3,1,LZ_WEST,LZEW,10.29
2024-06-01,3,2,LZ_WEST,LZEW,10.65
2024-06-01,3,3,LZ_WEST,LZEW,10.83
2024-06-01,3,4,LZ_WEST,LZEW,12.90
2024-06-01,4,1,LZ_WEST,LZEW,11.98
2024-06-01,4,2,LZ_WEST,LZEW,3.77
2024-06-01,4,3,LZ_WEST,LZEW,3.81
2024-06-01,4,4,LZ_WEST,LZEW,5.23
2024-06-01,5,1,LZ_WEST,LZEW,5.25
2024-06-01,5,2,LZ_WEST,LZEW,6.53
2024-06-01,5,3,LZ_WEST,LZEW,9.46
2024-06-01,5,4,LZ_WEST,LZEW,11.58
2024-06-01,6,1,LZ_WEST,LZEW,12.51
2024-06-01,6,2,LZ_WEST,LZEW,15.37
2024-06-01,6,3,LZ_WEST,LZEW,18.08
2024-06-01,6,4,LZ_WEST,LZEW,16.64
2024-06-01,7,1,LZ_WEST,LZEW,17.66
2024-06-01,7,2,LZ_WEST,LZEW,16.16
2024-06-01,7,3,LZ_WEST,LZEW,15.70
2024-06-01,7,4,LZ_WEST,LZEW,15.82
2024-06-01,8,1,LZ_WEST,LZEW,13.94
2024-06-01,8,2,LZ_WEST,LZEW,14.30
2024-06-01,8,3,LZ_WEST,LZEW,14.68
2024-06-01,8,4,LZ_WEST,LZEW,14.05
2024-06-01,9,1,LZ_WEST,LZEW,14.72
2024-06-01,9,2,LZ_WEST,LZEW,16.10
2024-06-01,9,3,LZ_WEST,LZEW,15.20
2024-06-01,9,4,LZ_WEST,LZEW,12.44
2024-06-01,10,1,LZ_WEST,LZEW,13.78
2024-06-01,10,2,LZ_WEST,LZEW,13.87
2024-06-01,10,3,LZ_WEST,LZEW,13.57
2024-06-01,10,4,LZ_WEST,LZEW,15.03
2024-06-01,11,1,LZ_WEST,LZEW,20.10
2024-06-01,11,2,LZ_WEST,LZEW,20.81
2024-06-01,11,3,LZ_WEST,LZEW,19.83
2024-06-01,11,4,LZ_WEST,LZEW,19.59
2024-06-01,12,1,LZ_WEST,LZEW,21.57
2024-06-01,12,2,LZ_WEST,LZEW,22.14
2024-06-01,12,3,LZ_WEST,LZEW,33.44
2024-06-01,12,4,LZ_WEST,LZEW,32.57
2024-06-01,13,1,LZ_WEST,LZEW,21.41
2024-06-01,13,2,LZ_WEST,LZEW,19.95
2024-06-01,13,3,LZ_WEST,LZEW,19.27
2024-06-01,13,4,LZ_WEST,LZEW,19.04
2024-06-01,14,1,LZ_WEST,LZEW,17.96
2024-06-01,14,2,LZ_WEST,LZEW,17.76
2024-06-01,14,3,LZ_WEST,LZEW,17.17
2024-06-01,14,4,LZ_WEST,LZEW,16.42
2024-06-01,15,1,LZ_WEST,LZEW,16.15
2024-06-01,15,2,LZ_WEST,LZEW,16.17
2024-06-01,15,3,LZ_WEST,LZEW,17.32
2024-06-01,15,4,LZ_WEST,LZEW,20.92
2024-06-01,16,1,LZ_WEST,LZEW,20.11
2024-06-01,16,2,LZ_WEST,LZEW,22.30
2024-06-01,16,3,LZ_WEST,LZEW,21.84
2024-06-01,16,4,LZ_WEST,LZEW,21.79
2024-06-01,17,1,LZ_WEST,LZEW,29.61
2024-06-01,17,2,LZ_WEST,LZEW,24.73
2024-06-01,17,3,LZ_WEST,LZEW,32.01
2024-06-01,17,4,LZ_WEST,LZEW,35.76
2024-06-01,18,1,LZ_WEST,LZEW,21.46
2024-06-01,18,2,LZ_WEST,LZEW,21
2024-06-01,18,3,LZ_WEST,LZEW,20.29
2024-06-01,18,4,LZ_WEST,LZEW,22.08
2024-06-01,19,1,LZ_WEST,LZEW,20.87
2024-06-01,19,2,LZ_WEST,LZEW,22.14
2024-06-01,19,3,LZ_WEST,LZEW,22.34
2024-06-01,19,4,LZ_WEST,LZEW,27.97
2024-06-01,20,1,LZ_WEST,LZEW,36.59
2024-06-01,20,2,LZ_WEST,LZEW,30.18
2024-06-01,20,3,LZ_WEST,LZEW,35.17
2024-06-01,20,4,LZ_WEST,LZEW,29.26
2024-06-01,21,1,LZ_WEST,LZEW,26.60
2024-06-01,21,2,LZ_WEST,LZEW,24.70
2024-06-01,21,3,LZ_WEST,LZEW,23.61
2024-06-01,21,4,LZ_WEST,LZEW,20.56
2024-06-01,22,1,LZ_WEST,LZEW,24.64
2024-06-01,22,2,LZ_WEST,LZEW,29.56
2024-06-01,22,3,LZ_WEST,LZEW,34.65
2024-06-01,22,4,LZ_WEST,LZEW,38.44
2024-06-01,23,1,LZ_WEST,LZEW,33.43
2024-06-01,23,2,LZ_WEST,LZEW,29.22
2024-06-01,23,3,LZ_WEST,LZEW,52
2024-06-01,23,4,LZ_WEST,LZEW,56.60
2024-06-01,24,1,LZ_WEST,LZEW,73.29
2024-06-01,24,2,LZ_WEST,LZEW,58.41
2024-06-01,24,3,LZ_WEST,LZEW,30.34
2024-06-01,24,4,LZ_WEST,LZEW,26.67
2024-06-02,1,1,LZ_WEST,LZEW,23.67
2024-06-02,1,2,LZ_WEST,LZEW,17.85
2024-06-02,1,3,LZ_WEST,LZEW,17.52
2024-06-02,1,4,LZ_WEST,LZEW,16
2024-06-02,2,1,LZ_WEST,LZEW,14.42
2024-06-02,2,2,LZ_WEST,LZEW,14.25
2024-06-02,2,3,LZ_WEST,LZEW,14.77
2024-06-02,2,4,LZ_WEST,LZEW,21.73
2024-06-02,3,1,LZ_WEST,LZEW,18.54
2024-06-02,3,2,LZ_WEST,LZEW,21.91
2024-06-02,3,3,LZ_WEST,LZEW,24.10
2024-06-02,3,4,LZ_WEST,LZEW,24.07
2024-06-02,4,1,LZ_WEST,LZEW,25.28
2024-06-02,4,2,LZ_WEST,LZEW,32.58
2024-06-02,4,3,LZ_WEST,LZEW,40.84
2024-06-02,4,4,LZ_WEST,LZEW,40.05
2024-06-02,5,1,LZ_WEST,LZEW,41.11
2024-06-02,5,2,LZ_WEST,LZEW,49.07
2024-06-02,5,3,LZ_WEST,LZEW,24.21
2024-06-02,5,4,LZ_WEST,LZEW,59.93
2024-06-02,6,1,LZ_WEST,LZEW,45.70
2024-06-02,6,2,LZ_WEST,LZEW,36.86
2024-06-02,6,3,LZ_WEST,LZEW,27.45
2024-06-02,6,4,LZ_WEST,LZEW,20.19
2024-06-02,7,1,LZ_WEST,LZEW,19.26
2024-06-02,7,2,LZ_WEST,LZEW,16.41
2024-06-02,7,3,LZ_WEST,LZEW,13.48
2024-06-02,7,4,LZ_WEST,LZEW,13.74
2024-06-02,8,1,LZ_WEST,LZEW,15.28
2024-06-02,8,2,LZ_WEST,LZEW,15.54
2024-06-02,8,3,LZ_WEST,LZEW,12.81
2024-06-02,8,4,LZ_WEST,LZEW,11.22
2024-06-02,9,1,LZ_WEST,LZEW,11.89
2024-06-02,9,2,LZ_WEST,LZEW,9.82
2024-06-02,9,3,LZ_WEST,LZEW,8.04
2024-06-02,9,4,LZ_WEST,LZEW,4.86
2024-06-02,10,1,LZ_WEST,LZEW,5.23
2024-06-02,10,2,LZ_WEST,LZEW,4.64
2024-06-02,10,3,LZ_WEST,LZEW,1.72
2024-06-02,10,4,LZ_WEST,LZEW,0.39
2024-06-02,11,1,LZ_WEST,LZEW,0.61
2024-06-02,11,2,LZ_WEST,LZEW,0.26
2024-06-02,11,3,LZ_WEST,LZEW,0.07
2024-06-02,11,4,LZ_WEST,LZEW,0.03
2024-06-02,12,1,LZ_WEST,LZEW,0.07
2024-06-02,12,2,LZ_WEST,LZEW,0.06
2024-06-02,12,3,LZ_WEST,LZEW,0
2024-06-02,12,4,LZ_WEST,LZEW,0.21
2024-06-02,13,1,LZ_WEST,LZEW,1.01
2024-06-02,13,2,LZ_WEST,LZEW,1.33
2024-06-02,13,3,LZ_WEST,LZEW,1.05
2024-06-02,13,4,LZ_WEST,LZEW,1.12
2024-06-02,14,1,LZ_WEST,LZEW,3.49
2024-06-02,14,2,LZ_WEST,LZEW,5.21
2024-06-02,14,3,LZ_WEST,LZEW,6.10
2024-06-02,14,4,LZ_WEST,LZEW,7.36
2024-06-02,15,1,LZ_WEST,LZEW,7.29
2024-06-02,15,2,LZ_WEST,LZEW,9.57
2024-06-02,15,3,LZ_WEST,LZEW,9.79
2024-06-02,15,4,LZ_WEST,LZEW,16.52
2024-06-02,16,1,LZ_WEST,LZEW,28.26
2024-06-02,16,2,LZ_WEST,LZEW,24.77
2024-06-02,16,3,LZ_WEST,LZEW,21.34
2024-06-02,16,4,LZ_WEST,LZEW,28.44
2024-06-02,17,1,LZ_WEST,LZEW,55.96
2024-06-02,17,2,LZ_WEST,LZEW,32.78
2024-06-02,17,3,LZ_WEST,LZEW,53.44
2024-06-02,17,4,LZ_WEST,LZEW,39.33
2024-06-02,18,1,LZ_WEST,LZEW,23.58
2024-06-02,18,2,LZ_WEST,LZEW,18.93
2024-06-02,18,3,LZ_WEST,LZEW,18.51
2024-06-02,18,4,LZ_WEST,LZEW,15.79
2024-06-02,19,1,LZ_WEST,LZEW,13.34
2024-06-02,19,2,LZ_WEST,LZEW,14.57
2024-06-02,19,3,LZ_WEST,LZEW,17.78
2024-06-02,19,4,LZ_WEST,LZEW,18.16
2024-06-02,20,1,LZ_WEST,LZEW,21.93
2024-06-02,20,2,LZ_WEST,LZEW,19.16
2024-06-02,20,3,LZ_WEST,LZEW,17.46
2024-06-02,20,4,LZ_WEST,LZEW,14.12
2024-06-02,21,1,LZ_WEST,LZEW,14.89
2024-06-02,21,2,LZ_WEST,LZEW,16.28
2024-06-02,21,3,LZ_WEST,LZEW,24.60
2024-06-02,21,4,LZ_WEST,LZEW,25.58
2024-06-02,22,1,LZ_WEST,LZEW,40.27
2024-06-02,22,2,LZ_WEST,LZEW,37.44
2024-06-02,22,3,LZ_WEST,LZEW,38.51
2024-06-02,22,4,LZ_WEST,LZEW,39.62
2024-06-02,23,1,LZ_WEST,LZEW,44.52
2024-06-02,23,2,LZ_WEST,LZEW,47.71
2024-06-02,23,3,LZ_WEST,LZEW,43.73
2024-06-02,23,4,LZ_WEST,LZEW,38.80
2024-06-02,24,1,LZ_WEST,LZEW,31.22
2024-06-02,24,2,LZ_WEST,LZEW,26.12
2024-06-02,24,3,LZ_WEST,LZEW,27.74
2024-06-02,24,4,LZ_WEST,LZEW,36.04
2024-06-03,1,1,LZ_WEST,LZEW,43.83
2024-06-03,1,2,LZ_WEST,LZEW,53.48
2024-06-03,1,3,LZ_WEST,LZEW,47.29
2024-06-03,1,4,LZ_WEST,LZEW,46.91
2024-06-03,2,1,LZ_WEST,LZEW,51.41
2024-06-03,2,2,LZ_WEST,LZEW,52.97
2024-06-03,2,3,LZ_WEST,LZEW,44.74
2024-06-03,2,4,LZ_WEST,LZEW,47.81
2024-06-03,3,1,LZ_WEST,LZEW,37.35
2024-06-03,3,2,LZ_WEST,LZEW,44.76
2024-06-03,3,3,LZ_WEST,LZEW,35.24
2024-06-03,3,4,LZ_WEST,LZEW,35.55
2024-06-03,4,1,LZ_WEST,LZEW,31
2024-06-03,4,2,LZ_WEST,LZEW,15.76
2024-06-03,4,3,LZ_WEST,LZEW,15.20
2024-06-03,4,4,LZ_WEST,LZEW,10.01
2024-06-03,5,1,LZ_WEST,LZEW,5.54
2024-06-03,5,2,LZ_WEST,LZEW,6.69
2024-06-03,5,3,LZ_WEST,LZEW,6.55
2024-06-03,5,4,LZ_WEST,LZEW,4.76
2024-06-03,6,1,LZ_WEST,LZEW,4.75
2024-06-03,6,2,LZ_WEST,LZEW,3.50
2024-06-03,6,3,LZ_WEST,LZEW,5.02
2024-06-03,6,4,LZ_WEST,LZEW,7.46
2024-06-03,7,1,LZ_WEST,LZEW,8.41
2024-06-03,7,2,LZ_WEST,LZEW,10.71
2024-06-03,7,3,LZ_WEST,LZEW,10.79
2024-06-03,7,4,LZ_WEST,LZEW,10.24
2024-06-03,8,1,LZ_WEST,LZEW,11.34
2024-06-03,8,2,LZ_WEST,LZEW,10.24
2024-06-03,8,3,LZ_WEST,LZEW,3.39
2024-06-03,8,4,LZ_WEST,LZEW,0.94
2024-06-03,9,1,LZ_WEST,LZEW,0.19
2024-06-03,9,2,LZ_WEST,LZEW,0.10
2024-06-03,9,3,LZ_WEST,LZEW,0.10
2024-06-03,9,4,LZ_WEST,LZEW,-0.07
2024-06-03,10,1,LZ_WEST,LZEW,-0.58
2024-06-03,10,2,LZ_WEST,LZEW,-0.50
2024-06-03,10,3,LZ_WEST,LZEW,-0.49
2024-06-03,10,4,LZ_WEST,LZEW,-0.26
2024-06-03,11,1,LZ_WEST,LZEW,-0.44
2024-06-03,11,2,LZ_WEST,LZEW,-0.23
2024-06-03,11,3,LZ_WEST,LZEW,-0.33
2024-06-03,11,4,LZ_WEST,LZEW,0.06
2024-06-03,12,1,LZ_WEST,LZEW,0.29
2024-06-03,12,2,LZ_WEST,LZEW,0.93
2024-06-03,12,3,LZ_WEST,LZEW,1.44
2024-06-03,12,4,LZ_WEST,LZEW,1.74
2024-06-03,13,1,LZ_WEST,LZEW,2.05
2024-06-03,13,2,LZ_WEST,LZEW,5.80
2024-06-03,13,3,LZ_WEST,LZEW,13.25
2024-06-03,13,4,LZ_WEST,LZEW,25.96
2024-06-03,14,1,LZ_WEST,LZEW,17.57
2024-06-03,14,2,LZ_WEST,LZEW,19.30
2024-06-03,14,3,LZ_WEST,LZEW,25.82
2024-06-03,14,4,LZ_WEST,LZEW,39.58
2024-06-03,15,1,LZ_WEST,LZEW,33.06
2024-06-03,15,2,LZ_WEST,LZEW,22.87
2024-06-03,15,3,LZ_WEST,LZEW,24.62
2024-06-03,15,4,LZ_WEST,LZEW,25.12
2024-06-03,16,1,LZ_WEST,LZEW,25.96
2024-06-03,16,2,LZ_WEST,LZEW,36.49
2024-06-03,16,3,LZ_WEST,LZEW,36.05
2024-06-03,16,4,LZ_WEST,LZEW,31.54
2024-06-03,17,1,LZ_WEST,LZEW,20.21
2024-06-03,17,2,LZ_WEST,LZEW,25.85
2024-06-03,17,3,LZ_WEST,LZEW,23.13
2024-06-03,17,4,LZ_WEST,LZEW,23.10
2024-06-03,18,1,LZ_WEST,LZEW,21.19
2024-06-03,18,2,LZ_WEST,LZEW,23.82
2024-06-03,18,3,LZ_WEST,LZEW,22.81
2024-06-03,18,4,LZ_WEST,LZEW,22.27
2024-06-03,19,1,LZ_WEST,LZEW,22.06
2024-06-03,19,2,LZ_WEST,LZEW,21.80
2024-06-03,19,3,LZ_WEST,LZEW,20.96
2024-06-03,19,4,LZ_WEST,LZEW,23.22
2024-06-03,20,1,LZ_WEST,LZEW,24.18
2024-06-03,20,2,LZ_WEST,LZEW,39.01
2024-06-03,20,3,LZ_WEST,LZEW,62.22
2024-06-03,20,4,LZ_WEST,LZEW,107.07
2024-06-03,21,1,LZ_WEST,LZEW,433.99
2024-06-03,21,2,LZ_WEST,LZEW,276.68
2024-06-03,21,3,LZ_WEST,LZEW,249.16
2024-06-03,21,4,LZ_WEST,LZEW,201.79
2024-06-03,22,1,LZ_WEST,LZEW,168.12
2024-06-03,22,2,LZ_WEST,LZEW,70.71
2024-06-03,22,3,LZ_WEST,LZEW,27.48
2024-06-03,22,4,LZ_WEST,LZEW,28.23
2024-06-03,23,1,LZ_WEST,LZEW,37.38
2024-06-03,23,2,LZ_WEST,LZEW,26.81
2024-06-03,23,3,LZ_WEST,LZEW,21.21
2024-06-03,23,4,LZ_WEST,LZEW,20.32
2024-06-03,24,1,LZ_WEST,LZEW,21.61
2024-06-03,24,2,LZ_WEST,LZEW,20.76
2024-06-03,24,3,LZ_WEST,LZEW,20.26
2024-06-03,24,4,LZ_WEST,LZEW,18.47
2024-06-04,1,1,LZ_WEST,LZEW,25.66
2024-06-04,1,2,LZ_WEST,LZEW,27.28
2024-06-04,1,3,LZ_WEST,LZEW,25.97
2024-06-04,1,4,LZ_WEST,LZEW,24.11
2024-06-04,2,1,LZ_WEST,LZEW,23.43
2024-06-04,2,2,LZ_WEST,LZEW,19.82
2024-06-04,2,3,LZ_WEST,LZEW,15.13
