Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-03-01,1,1,LZ_WEST,LZEW,10.30
2024-03-01,1,2,LZ_WEST,LZEW,10.23
2024-03-01,1,3,LZ_WEST,LZEW,9.88
2024-03-01,1,4,LZ_WEST,LZEW,9.76
2024-03-01,2,1,LZ_WEST,LZEW,9.82
2024-03-01,2,2,LZ_WEST,LZEW,9.43
2024-03-01,2,3,LZ_WEST,LZEW,9.56
2024-03-01,2,4,LZ_WEST,LZEW,8.93
2024-03-01,3,1,LZ_WEST,LZEW,9.08
2024-03-01,3,2,LZ_WEST,LZEW,6.94
2024-03-01,3,3,LZ_WEST,LZEW,6.51
2024-03-01,3,4,LZ_WEST,LZEW,6.50
2024-03-01,4,1,LZ_WEST,LZEW,5.11
2024-03-01,4,2,LZ_WEST,LZEW,2.15
2024-03-01,4,3,LZ_WEST,LZEW,1.80
2024-03-01,4,4,LZ_WEST,LZEW,1.95
2024-03-01,5,1,LZ_WEST,LZEW,2.25
2024-03-01,5,2,LZ_WEST,LZEW,1.82
2024-03-01,5,3,LZ_WEST,LZEW,1.94
2024-03-01,5,4,LZ_WEST,LZEW,2.43
2024-03-01,6,1,LZ_WEST,LZEW,6.15
2024-03-01,6,2,LZ_WEST,LZEW,6.39
2024-03-01,6,3,LZ_WEST,LZEW,7.82
2024-03-01,6,4,LZ_WEST,LZEW,8.47
2024-03-01,7,1,LZ_WEST,LZEW,7.28
2024-03-01,7,2,LZ_WEST,LZEW,8.55
2024-03-01,7,3,LZ_WEST,LZEW,9.99
2024-03-01,7,4,LZ_WEST,LZEW,8.17
2024-03-01,8,1,LZ_WEST,LZEW,12.02
2024-03-01,8,2,LZ_WEST,LZEW,15.26
2024-03-01,8,3,LZ_WEST,LZEW,12.66
2024-03-01,8,4,LZ_WEST,LZEW,3.73
2024-03-01,9,1,LZ_WEST,LZEW,1.45
2024-03-01,9,2,LZ_WEST,LZEW,0.96
2024-03-01,9,3,LZ_WEST,LZEW,0.69
2024-03-01,9,4,LZ_WEST,LZEW,1.27
2024-03-01,10,1,LZ_WEST,LZEW,6.15
2024-03-01,10,2,LZ_WEST,LZEW,7.14
2024-03-01,10,3,LZ_WEST,LZEW,10.78
2024-03-01,10,4,LZ_WEST,LZEW,10.46
2024-03-01,11,1,LZ_WEST,LZEW,9.57
2024-03-01,11,2,LZ_WEST,LZEW,9.04
2024-03-01,11,3,LZ_WEST,LZEW,9.10
2024-03-01,11,4,LZ_WEST,LZEW,8.04
2024-03-01,12,1,LZ_WEST,LZEW,8.01
2024-03-01,12,2,LZ_WEST,LZEW,6.30
2024-03-01,12,3,LZ_WEST,LZEW,5.33
2024-03-01,12,4,LZ_WEST,LZEW,4.73
2024-03-01,13,1,LZ_WEST,LZEW,4.51
2024-03-01,13,2,LZ_WEST,LZEW,5.02
2024-03-01,13,3,LZ_WEST,LZEW,2.68
2024-03-01,13,4,LZ_WEST,LZEW,1.74
2024-03-01,14,1,LZ_WEST,LZEW,0.46
2024-03-01,14,2,LZ_WEST,LZEW,0.55
2024-03-01,14,3,LZ_WEST,LZEW,0.23
2024-03-01,14,4,LZ_WEST,LZEW,0.01
2024-03-01,15,1,LZ_WEST,LZEW,0.01
2024-03-01,15,2,LZ_WEST,LZEW,0.01
2024-03-01,15,3,LZ_WEST,LZEW,0.01
2024-03-01,15,4,LZ_WEST,LZEW,0
2024-03-01,16,1,LZ_WEST,LZEW,0
2024-03-01,16,2,LZ_WEST,LZEW,0
2024-03-01,16,3,LZ_WEST,LZEW,0
2024-03-01,16,4,LZ_WEST,LZEW,0
2024-03-01,17,1,LZ_WEST,LZEW,-0.82
2024-03-01,17,2,LZ_WEST,LZEW,-0.02
2024-03-01,17,3,LZ_WEST,LZEW,0.01
2024-03-01,17,4,LZ_WEST,LZEW,0.31
2024-03-01,18,1,LZ_WEST,LZEW,1.06
2024-03-01,18,2,LZ_WEST,LZEW,4.49
2024-03-01,18,3,LZ_WEST,LZEW,10.67
2024-03-01,18,4,LZ_WEST,LZEW,14.64
2024-03-01,19,1,LZ_WEST,LZEW,23.45
2024-03-01,19,2,LZ_WEST,LZEW,29.51
2024-03-01,19,3,LZ_WEST,LZEW,28.76
2024-03-01,19,4,LZ_WEST,LZEW,41.09
2024-03-01,20,1,LZ_WEST,LZEW,44.81
