Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-05-01,1,1,LZ_WEST,LZEW,-1.86
2024-05-01,1,2,LZ_WEST,LZEW,-1.19
2024-05-01,1,3,LZ_WEST,LZEW,-1.73
2024-05-01,1,4,LZ_WEST,LZEW,-2.92
2024-05-01,2,1,LZ_WEST,LZEW,-2.08
2024-05-01,2,2,LZ_WEST,LZEW,-1.22
2024-05-01,2,3,LZ_WEST,LZEW,-0.70
2024-05-01,2,4,LZ_WEST,LZEW,-0.71
2024-05-01,3,1,LZ_WEST,LZEW,-0.28
2024-05-01,3,2,LZ_WEST,LZEW,0.07
2024-05-01,3,3,LZ_WEST,LZEW,4.65
2024-05-01,3,4,LZ_WEST,LZEW,8.44
2024-05-01,4,1,LZ_WEST,LZEW,9.71
2024-05-01,4,2,LZ_WEST,LZEW,8.77
2024-05-01,4,3,LZ_WEST,LZEW,8.39
2024-05-01,4,4,LZ_WEST,LZEW,7.66
2024-05-01,5,1,LZ_WEST,LZEW,6.97
2024-05-01,5,2,LZ_WEST,LZEW,7.24
2024-05-01,5,3,LZ_WEST,LZEW,5.88
2024-05-01,5,4,LZ_WEST,LZEW,6.81
2024-05-01,6,1,LZ_WEST,LZEW,6.55
2024-05-01,6,2,LZ_WEST,LZEW,7.88
2024-05-01,6,3,LZ_WEST,LZEW,9.19
2024-05-01,6,4,LZ_WEST,LZEW,9.38
2024-05-01,7,1,LZ_WEST,LZEW,10.03
2024-05-01,7,2,LZ_WEST,LZEW,11.80
2024-05-01,7,3,LZ_WEST,LZEW,12.22
2024-05-01,7,4,LZ_WEST,LZEW,11.97
2024-05-01,8,1,LZ_WEST,LZEW,14.37
2024-05-01,8,2,LZ_WEST,LZEW,14.05
2024-05-01,8,3,LZ_WEST,LZEW,12.70
2024-05-01,8,4,LZ_WEST,LZEW,12.30
2024-05-01,9,1,LZ_WEST,LZEW,12.99
2024-05-01,9,2,LZ_WEST,LZEW,11.56
2024-05-01,9,3,LZ_WEST,LZEW,2.39
2024-05-01,9,4,LZ_WEST,LZEW,0.92
2024-05-01,10,1,LZ_WEST,LZEW,0.80
2024-05-01,10,2,LZ_WEST,LZEW,0.31
2024-05-01,10,3,LZ_WEST,LZEW,0.11
2024-05-01,10,4,LZ_WEST,LZEW,-0.34
2024-05-01,11,1,LZ_WEST,LZEW,-0.02
2024-05-01,11,2,LZ_WEST,LZEW,0.17
2024-05-01,11,3,LZ_WEST,LZEW,-0.17
2024-05-01,11,4,LZ_WEST,LZEW,-0.01
2024-05-01,12,1,LZ_WEST,LZEW,0.32
2024-05-01,12,2,LZ_WEST,LZEW,0.40
2024-05-01,12,3,LZ_WEST,LZEW,0.43
2024-05-01,12,4,LZ_WEST,LZEW,0.45
2024-05-01,13,1,LZ_WEST,LZEW,0.20
2024-05-01,13,2,LZ_WEST,LZEW,0.27
2024-05-01,13,3,LZ_WEST,LZEW,0.29
2024-05-01,13,4,LZ_WEST,LZEW,0.22
2024-05-01,14,1,LZ_WEST,LZEW,-0.09
2024-05-01,14,2,LZ_WEST,LZEW,-0.31
2024-05-01,14,3,LZ_WEST,LZEW,-0.20
2024-05-01,14,4,LZ_WEST,LZEW,-0.03
2024-05-01,15,1,LZ_WEST,LZEW,0.11
2024-05-01,15,2,LZ_WEST,LZEW,-0.23
2024-05-01,15,3,LZ_WEST,LZEW,-0.28
2024-05-01,15,4,LZ_WEST,LZEW,-0.36
2024-05-01,16,1,LZ_WEST,LZEW,-0.69
2024-05-01,16,2,LZ_WEST,LZEW,-0.43
2024-05-01,16,3,LZ_WEST,LZEW,-0.54
2024-05-01,16,4,LZ_WEST,LZEW,-0.58
2024-05-01,17,1,LZ_WEST,LZEW,-0.44
2024-05-01,17,2,LZ_WEST,LZEW,-0.73
2024-05-01,17,3,LZ_WEST,LZEW,-0.76
2024-05-01,17,4,LZ_WEST,LZEW,-1.22
2024-05-01,18,1,LZ_WEST,LZEW,-1.97
2024-05-01,18,2,LZ_WEST,LZEW,-1.82
2024-05-01,18,3,LZ_WEST,LZEW,-1.95
2024-05-01,18,4,LZ_WEST,LZEW,-1.76
2024-05-01,19,1,LZ_WEST,LZEW,-1.50
2024-05-01,19,2,LZ_WEST,LZEW,-1.15
2024-05-01,19,3,LZ_WEST,LZEW,-1.12
2024-05-01,19,4,LZ_WEST,LZEW,-1.10
2024-05-01,20,1,LZ_WEST,LZEW,-0.91
2024-05-01,20,2,LZ_WEST,LZEW,-0.65
2024-05-01,20,3,LZ_WEST,LZEW,0.08
2024-05-01,20,4,LZ_WEST,LZEW,15.39
2024-05-01,21,1,LZ_WEST,LZEW,35.08
2024-05-01,21,2,LZ_WEST,LZEW,29.13
2024-05-01,21,3,LZ_WEST,LZEW,20.79
2024-05-01,21,4,LZ_WEST,LZEW,20.78
2024-05-01,22,1,LZ_WEST,LZEW,20.65
2024-05-01,22,2,LZ_WEST,LZEW,22.13
2024-05-01,22,3,LZ_WEST,LZEW,27.67
2024-05-01,22,4,LZ_WEST,LZEW,30.99
2024-05-01,23,1,LZ_WEST,LZEW,24.88
2024-05-01,23,2,LZ_WEST,LZEW,28.55
2024-05-01,23,3,LZ_WEST,LZEW,19.49
2024-05-01,23,4,LZ_WEST,LZEW,17.32
2024-05-01,24,1,LZ_WEST,LZEW,17.95
2024-05-01,24,2,LZ_WEST,LZEW,15.48
2024-05-01,24,3,LZ_WEST,LZEW,14.30
2024-05-01,24,4,LZ_WEST,LZEW,10.90
2024-05-02,1,1,LZ_WEST,LZEW,12.54
2024-05-02,1,2,LZ_WEST,LZEW,16.34
2024-05-02,1,3,LZ_WEST,LZEW,12.67
2024-05-02,1,4,LZ_WEST,LZEW,11.62
2024-05-02,2,1,LZ_WEST,LZEW,13.22
2024-05-02,2,2,LZ_WEST,LZEW,14.79
2024-05-02,2,3,LZ_WEST,LZEW,17.24
2024-05-02,2,4,LZ_WEST,LZEW,17.06
2024-05-02,3,1,LZ_WEST,LZEW,21.33
2024-05-02,3,2,LZ_WEST,LZEW,18.43
2024-05-02,3,3,LZ_WEST,LZEW,17.68
2024-05-02,3,4,LZ_WEST,LZEW,16.81
2024-05-02,4,1,LZ_WEST,LZEW,16.54
2024-05-02,4,2,LZ_WEST,LZEW,16.25
2024-05-02,4,3,LZ_WEST,LZEW,16.27
2024-05-02,4,4,LZ_WEST,LZEW,15.03
2024-05-02,5,1,LZ_WEST,LZEW,14.90
2024-05-02,5,2,LZ_WEST,LZEW,15.66
2024-05-02,5,3,LZ_WEST,LZEW,19.77
2024-05-02,5,4,LZ_WEST,LZEW,19.40
2024-05-02,6,1,LZ_WEST,LZEW,24.81
2024-05-02,6,2,LZ_WEST,LZEW,19.45
2024-05-02,6,3,LZ_WEST,LZEW,19.72
2024-05-02,6,4,LZ_WEST,LZEW,19.64
2024-05-02,7,1,LZ_WEST,LZEW,25.14
2024-05-02,7,2,LZ_WEST,LZEW,31.19
2024-05-02,7,3,LZ_WEST,LZEW,32.75
2024-05-02,7,4,LZ_WEST,LZEW,28.65
2024-05-02,8,1,LZ_WEST,LZEW,26.40
2024-05-02,8,2,LZ_WEST,LZEW,40.90
2024-05-02,8,3,LZ_WEST,LZEW,46.68
2024-05-02,8,4,LZ_WEST,LZEW,30.12
