Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-11-01,1,1,LZ_WEST,LZEW,40.77
2024-11-01,1,2,LZ_WEST,LZEW,37.41
2024-11-01,1,3,LZ_WEST,LZEW,43.98
2024-11-01,1,4,LZ_WEST,LZEW,49.91
2024-11-01,2,1,LZ_WEST,LZEW,52.12
2024-11-01,2,2,LZ_WEST,LZEW,50.98
2024-11-01,2,3,LZ_WEST,LZEW,48.66
2024-11-01,2,4,LZ_WEST,LZEW,51.48
2024-11-01,3,1,LZ_WEST,LZEW,61.48
2024-11-01,3,2,LZ_WEST,LZEW,61.77
2024-11-01,3,3,LZ_WEST,LZEW,62.08
2024-11-01,3,4,LZ_WEST,LZEW,62.14
2024-11-01,4,1,LZ_WEST,LZEW,63.86
2024-11-01,4,2,LZ_WEST,LZEW,66.07
2024-11-01,4,3,LZ_WEST,LZEW,70.81
2024-11-01,4,4,LZ_WEST,LZEW,70.24
2024-11-01,5,1,LZ_WEST,LZEW,71.45
2024-11-01,5,2,LZ_WEST,LZEW,72.57
2024-11-01,5,3,LZ_WEST,LZEW,76.13
2024-11-01,5,4,LZ_WEST,LZEW,75.70
2024-11-01,6,1,LZ_WEST,LZEW,78.67
2024-11-01,6,2,LZ_WEST,LZEW,85.58
2024-11-01,6,3,LZ_WEST,LZEW,78.98
2024-11-01,6,4,LZ_WEST,LZEW,80.59
2024-11-01,7,1,LZ_WEST,LZEW,77.53
2024-11-01,7,2,LZ_WEST,LZEW,85.35
2024-11-01,7,3,LZ_WEST,LZEW,77.03
2024-11-01,7,4,LZ_WEST,LZEW,79.04
2024-11-01,8,1,LZ_WEST,LZEW,67.64
2024-11-01,8,2,LZ_WEST,LZEW,75.92
2024-11-01,8,3,LZ_WEST,LZEW,64.77
2024-11-01,8,4,LZ_WEST,LZEW,76.32
2024-11-01,9,1,LZ_WEST,LZEW,65.45
2024-11-01,9,2,LZ_WEST,LZEW,83.39
2024-11-01,9,3,LZ_WEST,LZEW,76.67
2024-11-01,9,4,LZ_WEST,LZEW,43
2024-11-01,10,1,LZ_WEST,LZEW,28.38
2024-11-01,10,2,LZ_WEST,LZEW,33.41
2024-11-01,10,3,LZ_WEST,LZEW,32.63
2024-11-01,10,4,LZ_WEST,LZEW,32.87
2024-11-01,11,1,LZ_WEST,LZEW,31.44
2024-11-01,11,2,LZ_WEST,LZEW,30.09
2024-11-01,11,3,LZ_WEST,LZEW,30.50
2024-11-01,11,4,LZ_WEST,LZEW,29.46
2024-11-01,12,1,LZ_WEST,LZEW,28.31
2024-11-01,12,2,LZ_WEST,LZEW,25.24
2024-11-01,12,3,LZ_WEST,LZEW,23.85
2024-11-01,12,4,LZ_WEST,LZEW,24.16
2024-11-01,13,1,LZ_WEST,LZEW,22.95
