Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-10-01,1,1,LZ_WEST,LZEW,59.62
2024-10-01,1,2,LZ_WEST,LZEW,40.95
2024-10-01,1,3,LZ_WEST,LZEW,43.01
2024-10-01,1,4,LZ_WEST,LZEW,38.94
2024-10-01,2,1,LZ_WEST,LZEW,42.48
2024-10-01,2,2,LZ_WEST,LZEW,37.45
2024-10-01,2,3,LZ_WEST,LZEW,35.48
2024-10-01,2,4,LZ_WEST,LZEW,40.01
2024-10-01,3,1,LZ_WEST,LZEW,39.82
2024-10-01,3,2,LZ_WEST,LZEW,27.08
2024-10-01,3,3,LZ_WEST,LZEW,28.58
2024-10-01,3,4,LZ_WEST,LZEW,43.31
2024-10-01,4,1,LZ_WEST,LZEW,36.97
2024-10-01,4,2,LZ_WEST,LZEW,44.80
2024-10-01,4,3,LZ_WEST,LZEW,42.85
2024-10-01,4,4,LZ_WEST,LZEW,34.83
2024-10-01,5,1,LZ_WEST,LZEW,43.06
2024-10-01,5,2,LZ_WEST,LZEW,31.13
2024-10-01,5,3,LZ_WEST,LZEW,42.95
2024-10-01,5,4,LZ_WEST,LZEW,34.84
2024-10-01,6,1,LZ_WEST,LZEW,48.60
2024-10-01,6,2,LZ_WEST,LZEW,36.64
2024-10-01,6,3,LZ_WEST,LZEW,41.66
2024-10-01,6,4,LZ_WEST,LZEW,40.98
2024-10-01,7,1,LZ_WEST,LZEW,42.73
2024-10-01,7,2,LZ_WEST,LZEW,35.36
2024-10-01,7,3,LZ_WEST,LZEW,57.69
2024-10-01,7,4,LZ_WEST,LZEW,49.87
2024-10-01,8,1,LZ_WEST,LZEW,44.93
2024-10-01,8,2,LZ_WEST,LZEW,65.32
2024-10-01,8,3,LZ_WEST,LZEW,56.71
2024-10-01,8,4,LZ_WEST,LZEW,51.37
2024-10-01,9,1,LZ_WEST,LZEW,47
2024-10-01,9,2,LZ_WEST,LZEW,24.11
2024-10-01,9,3,LZ_WEST,LZEW,18.42
2024-10-01,9,4,LZ_WEST,LZEW,14.22
2024-10-01,10,1,LZ_WEST,LZEW,14.06
2024-10-01,10,2,LZ_WEST,LZEW,12.06
2024-10-01,10,3,LZ_WEST,LZEW,10.84
2024-10-01,10,4,LZ_WEST,LZEW,10.98
2024-10-01,11,1,LZ_WEST,LZEW,11.70
2024-10-01,11,2,LZ_WEST,LZEW,13.04
2024-10-01,11,3,LZ_WEST,LZEW,13.89
2024-10-01,11,4,LZ_WEST,LZEW,14.70
2024-10-01,12,1,LZ_WEST,LZEW,15.66
2024-10-01,12,2,LZ_WEST,LZEW,16.12
2024-10-01,12,3,LZ_WEST,LZEW,17.18
2024-10-01,12,4,LZ_WEST,LZEW,17.80
2024-10-01,13,1,LZ_WEST,LZEW,18.59
2024-10-01,13,2,LZ_WEST,LZEW,19.10
2024-10-01,13,3,LZ_WEST,LZEW,22.81
2024-10-01,13,4,LZ_WEST,LZEW,23.72
2024-10-01,14,1,LZ_WEST,LZEW,23.20
2024-10-01,14,2,LZ_WEST,LZEW,24.21
2024-10-01,14,3,LZ_WEST,LZEW,25.70
2024-10-01,14,4,LZ_WEST,LZEW,26.80
2024-10-01,15,1,LZ_WEST,LZEW,26.57
2024-10-01,15,2,LZ_WEST,LZEW,28.15
2024-10-01,15,3,LZ_WEST,LZEW,28.76
2024-10-01,15,4,LZ_WEST,LZEW,27.49
2024-10-01,16,1,LZ_WEST,LZEW,26.39
2024-10-01,16,2,LZ_WEST,LZEW,25.11
2024-10-01,16,3,LZ_WEST,LZEW,30.90
2024-10-01,16,4,LZ_WEST,LZEW,27.63
2024-10-01,17,1,LZ_WEST,LZEW,26.71
2024-10-01,17,2,LZ_WEST,LZEW,25.17
2024-10-01,17,3,LZ_WEST,LZEW,29.37
2024-10-01,17,4,LZ_WEST,LZEW,30.78
2024-10-01,18,1,LZ_WEST,LZEW,27.95
2024-10-01,18,2,LZ_WEST,LZEW,35.52
2024-10-01,18,3,LZ_WEST,LZEW,37.77
2024-10-01,18,4,LZ_WEST,LZEW,55.94
2024-10-01,19,1,LZ_WEST,LZEW,44.32
2024-10-01,19,2,LZ_WEST,LZEW,70.29
2024-10-01,19,3,LZ_WEST,LZEW,83.91
2024-10-01,19,4,LZ_WEST,LZEW,86.96
2024-10-01,20,1,LZ_WEST,LZEW,86
2024-10-01,20,2,LZ_WEST,LZEW,96.72
2024-10-01,20,3,LZ_WEST,LZEW,74.57
2024-10-01,20,4,LZ_WEST,LZEW,62.20
2024-10-01,21,1,LZ_WEST,LZEW,62.75
2024-10-01,21,2,LZ_WEST,LZEW,40.22
2024-10-01,21,3,LZ_WEST,LZEW,38.21
2024-10-01,21,4,LZ_WEST,LZEW,45.46
2024-10-01,22,1,LZ_WEST,LZEW,41.44
2024-10-01,22,2,LZ_WEST,LZEW,44.07
2024-10-01,22,3,LZ_WEST,LZEW,37.74
2024-10-01,22,4,LZ_WEST,LZEW,34.32
2024-10-01,23,1,LZ_WEST,LZEW,37.28
2024-10-01,23,2,LZ_WEST,LZEW,35.29
2024-10-01,23,3,LZ_WEST,LZEW,30.23
2024-10-01,23,4,LZ_WEST,LZEW,32.84
2024-10-01,24,1,LZ_WEST,LZEW,36.12
2024-10-01,24,2,LZ_WEST,LZEW,44.44
2024-10-01,24,3,LZ_WEST,LZEW,40.20
2024-10-01,24,4,LZ_WEST,LZEW,31.79
2024-10-02,1,1,LZ_WEST,LZEW,25
2024-10-02,1,2,LZ_WEST,LZEW,25.27
2024-10-02,1,3,LZ_WEST,LZEW,26.28
2024-10-02,1,4,LZ_WEST,LZEW,34.76
2024-10-02,2,1,LZ_WEST,LZEW,23.67
2024-10-02,2,2,LZ_WEST,LZEW,24.19
2024-10-02,2,3,LZ_WEST,LZEW,25.67
2024-10-02,2,4,LZ_WEST,LZEW,30.70
2024-10-02,3,1,LZ_WEST,LZEW,27.68
2024-10-02,3,2,LZ_WEST,LZEW,30.43
2024-10-02,3,3,LZ_WEST,LZEW,35.56
2024-10-02,3,4,LZ_WEST,LZEW,40.08
2024-10-02,4,1,LZ_WEST,LZEW,40.48
2024-10-02,4,2,LZ_WEST,LZEW,41.12
2024-10-02,4,3,LZ_WEST,LZEW,43.61
2024-10-02,4,4,LZ_WEST,LZEW,45.11
2024-10-02,5,1,LZ_WEST,LZEW,44.73
2024-10-02,5,2,LZ_WEST,LZEW,45.59
2024-10-02,5,3,LZ_WEST,LZEW,45.47
2024-10-02,5,4,LZ_WEST,LZEW,42.71
2024-10-02,6,1,LZ_WEST,LZEW,48.21
2024-10-02,6,2,LZ_WEST,LZEW,31.91
2024-10-02,6,3,LZ_WEST,LZEW,41.06
2024-10-02,6,4,LZ_WEST,LZEW,32.98
2024-10-02,7,1,LZ_WEST,LZEW,37.93
2024-10-02,7,2,LZ_WEST,LZEW,37.97
2024-10-02,7,3,LZ_WEST,LZEW,43.93
2024-10-02,7,4,LZ_WEST,LZEW,35.28
2024-10-02,8,1,LZ_WEST,LZEW,41.01
2024-10-02,8,2,LZ_WEST,LZEW,32.08
2024-10-02,8,3,LZ_WEST,LZEW,33.78
2024-10-02,8,4,LZ_WEST,LZEW,35.30
2024-10-02,9,1,LZ_WEST,LZEW,28.34
2024-10-02,9,2,LZ_WEST,LZEW,17.89
2024-10-02,9,3,LZ_WEST,LZEW,15.20
2024-10-02,9,4,LZ_WEST,LZEW,12.55
2024-10-02,10,1,LZ_WEST,LZEW,14.40
2024-10-02,10,2,LZ_WEST,LZEW,14.17
2024-10-02,10,3,LZ_WEST,LZEW,14.24
2024-10-02,10,4,LZ_WEST,LZEW,13.96
2024-10-02,11,1,LZ_WEST,LZEW,14.81
2024-10-02,11,2,LZ_WEST,LZEW,13.90
2024-10-02,11,3,LZ_WEST,LZEW,14.11
2024-10-02,11,4,LZ_WEST,LZEW,14.75
2024-10-02,12,1,LZ_WEST,LZEW,15.18
2024-10-02,12,2,LZ_WEST,LZEW,16.22
2024-10-02,12,3,LZ_WEST,LZEW,17.28
2024-10-02,12,4,LZ_WEST,LZEW,17.90
2024-10-02,13,1,LZ_WEST,LZEW,18.34
2024-10-02,13,2,LZ_WEST,LZEW,20.44
2024-10-02,13,3,LZ_WEST,LZEW,21.54
2024-10-02,13,4,LZ_WEST,LZEW,21.02
2024-10-02,14,1,LZ_WEST,LZEW,21.08
2024-10-02,14,2,LZ_WEST,LZEW,22.84
2024-10-02,14,3,LZ_WEST,LZEW,22.36
2024-10-02,14,4,LZ_WEST,LZEW,22.37
2024-10-02,15,1,LZ_WEST,LZEW,22.25
2024-10-02,15,2,LZ_WEST,LZEW,23.10
2024-10-02,15,3,LZ_WEST,LZEW,23.52
2024-10-02,15,4,LZ_WEST,LZEW,25.14
2024-10-02,16,1,LZ_WEST,LZEW,26.28
2024-10-02,16,2,LZ_WEST,LZEW,28.98
2024-10-02,16,3,LZ_WEST,LZEW,30.26
2024-10-02,16,4,LZ_WEST,LZEW,41.21
2024-10-02,17,1,LZ_WEST,LZEW,37.55
2024-10-02,17,2,LZ_WEST,LZEW,45.99
2024-10-02,17,3,LZ_WEST,LZEW,49.57
2024-10-02,17,4,LZ_WEST,LZEW,48.22
2024-10-02,18,1,LZ_WEST,LZEW,47.84
2024-10-02,18,2,LZ_WEST,LZEW,46.56
2024-10-02,18,3,LZ_WEST,LZEW,56.18
2024-10-02,18,4,LZ_WEST,LZEW,61.35
