Time of Day,Average Price per kWh,,,Revenue Per Day
0:00:00,35.65958678,,,-2471.112102
0:15:00,33.92655647,,,-2350.539985
0:30:00,32.74471074,,,-2268.315432
0:45:00,33.48242424,,,-2319.640373
1:00:00,33.75909341,,,-2338.889077
1:15:00,32.86796703,,,-2276.890741
1:30:00,31.68027473,,,-2194.259424
1:45:00,32.4303022,,,-2246.441086
2:00:00,32.02022099,,,-2217.910506
2:15:00,31.58486188,,,-2187.621266
2:30:00,31.87044199,,,-2207.489931
2:45:00,31.50875691,,,-2182.326415
3:00:00,31.90509642,,,-2209.900944
3:15:00,31.00914601,,,-2147.566986
3:30:00,32.37173554,,,-2242.366427
3:45:00,32.60801653,,,-2258.805205
4:00:00,33.77812672,,,-2340.213281
4:15:00,33.82628099,,,-2343.563518
4:30:00,34.21380165,,,-2370.524493
4:45:00,34.97016529,,,-2423.146981
5:00:00,36.92526171,,,-2559.168904
5:15:00,35.7261708,,,-2475.744552
5:30:00,37.43735537,,,-2594.796796
5:45:00,37.25088154,,,-2581.823253
6:00:00,40.93093664,,,-2837.855726
6:15:00,39.95035813,,,-2769.633937
6:30:00,42.79911846,,,-2967.830739
6:45:00,41.69977961,,,-2891.346438
7:00:00,46.66644628,,,-3236.892338
7:15:00,38.97019284,,,-2701.440897
7:30:00,36.6477135,,,-2539.859042
7:45:00,31.47977961,,,-2180.310378
8:00:00,31.12126722,,,-2155.367595
8:15:00,23.88253444,,,-1651.747239
8:30:00,23.14209366,,,-1600.232553
8:45:00,17.63096419,,,-1216.806742
9:00:00,19.83344353,,,-1370.039837
9:15:00,16.24746556,,,-1120.552593
9:30:00,14.90636364,,,-1027.248108
9:45:00,15.17509642,,,-1045.944654
10:00:00,15.24110193,,,-1050.536855
10:15:00,15.07672176,,,-1039.100434
10:30:00,14.58829201,,,-1005.118911
10:45:00,14.64460055,,,-1009.036465
11:00:00,14.88506887,,,-1025.766567
11:15:00,15.03710744,,,-1036.344347
11:30:00,15.1253719,,,-1042.48517
11:45:00,15.45016529,,,-1065.082021
12:00:00,15.71008264,,,-1083.165251
12:15:00,16.56336088,,,-1142.530378
12:30:00,16.63344353,,,-1147.406237
12:45:00,17.00790634,,,-1173.458738
13:00:00,17.16581267,,,-1184.444756
13:15:00,18.11347107,,,-1250.376194
13:30:00,18.45898072,,,-1274.414336
13:45:00,18.16630854,,,-1254.052255
14:00:00,17.90878788,,,-1236.13577
14:15:00,18.31349862,,,-1264.292711
14:30:00,19.36600551,,,-1337.518772
14:45:00,20.4730854,,,-1414.541641
15:00:00,29.45539945,,,-2039.468177
15:15:00,22.42184573,,,-1550.122744
15:30:00,22.49735537,,,-1555.376176
15:45:00,24.62471074,,,-1703.382672
16:00:00,26.0061708,,,-1799.494992
16:15:00,29.92407713,,,-2072.075489
16:30:00,32.17848485,,,-2228.921397
16:45:00,33.13564738,,,-2295.514066
17:00:00,33.24790634,,,-2303.324258
17:15:00,39.69876033,,,-2752.129523
17:30:00,49.50490358,,,-3434.372328
17:45:00,48.1907438,,,-3342.942289
18:00:00,39.37528926,,,-2729.62467
18:15:00,49.19534435,,,-3412.835364
18:30:00,57.45099174,,,-3987.205519
18:45:00,65.65900826,,,-4558.261853
19:00:00,64.21644628,,,-4457.898488
19:15:00,82.2185124,,,-5710.356234
19:30:00,107.0280165,,,-7436.427865
19:45:00,119.5689807,,,-8308.940366
20:00:00,110.1299449,,,-7652.238328
20:15:00,95.37983471,,,-6626.028911
20:30:00,70.88730028,,,-4922.009813
20:45:00,59.46763085,,,-4127.509152
21:00:00,59.6831405,,,-4142.502805
21:15:00,49.73134986,,,-3450.126875
21:30:00,48.10586777,,,-3337.037209
21:45:00,43.935427,,,-3046.887133
22:00:00,45.26600551,,,-3139.459472
22:15:00,41.24545455,,,-2859.73768
22:30:00,39.08391185,,,-2709.35267
22:45:00,37.96853994,,,-2631.752901
23:00:00,36.65831956,,,-2540.596938
23:15:00,35.67898072,,,-2472.461396
23:30:00,34.37360882,,,-2381.642757
23:45:00,34.25666667,,,-2373.506741
,,,,
Median,33.00180721,,,
Mean,35.81271398,,,
